iter	Passed	Remaining
0	143	14217
1	152	7478
2	163	5299
3	173	4157
4	180	3437
5	184	2896
6	189	2514
7	192	2219
8	196	1990
9	200	1801
10	202	1640
11	204	1502
12	207	1390
13	210	1290
14	213	1207
15	215	1132
16	218	1065
17	220	1005
18	222	950
19	225	900
20	227	854
21	229	812
22	231	774
23	233	739
24	235	705
25	236	674
26	238	644
27	240	617
28	241	591
29	243	567
30	244	544
31	246	523
32	247	502
33	249	483
34	250	465
35	252	448
36	253	431
37	254	416
38	256	400
39	258	387
40	259	373
41	261	360
42	262	348
43	264	336
44	265	324
45	267	313
46	268	302
47	270	292
48	271	282
49	272	272
50	274	263
51	275	254
52	277	245
53	278	237
54	280	229
55	281	221
56	283	213
57	284	206
58	286	198
59	287	191
60	288	184
61	290	178
62	291	171
63	293	165
64	294	158
65	296	152
66	297	146
67	299	140
68	300	134
69	301	129
70	303	123
71	304	118
72	306	113
73	307	107
74	308	102
75	310	97
76	311	93
77	312	88
78	314	83
79	315	78
80	317	74
81	318	69
82	320	65
83	321	61
84	322	56
85	324	52
86	325	48
87	327	44
88	328	40
89	329	36
90	331	32
91	332	28
92	334	25
93	335	21
94	336	17
95	338	14
96	339	10
97	340	6
98	342	3
99	343	0
